T,t
1,85.686563
1,84.112471
1,86.670978
2,44.531224
2,45.070596
2,44.680060
4,24.143681
4,24.135625
4,23.167036
8,12.090495
8,12.715976
8,12.130168
16,6.935167
16,7.193707
16,6.905667
32,6.006843
32,6.032446
32,6.358608
64,5.285810
64,5.460500
64,5.542167
128,4.846360
128,4.863778
128,4.835044
256,4.897422
256,4.974563
256,4.874826
